Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,Numero RC,Tribunal,ICE,Forme Juridique,Capital
Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,Numero RC,Tribunal,ICE,Forme Juridique,Capital
EXTRACTION DES CORPS GRAS DECHETS ANIMAUX ET VEGETAUX (STE POUR L'), creation exploitation toutes operations financieres commerciales industrieles agricoles mobilieres immobilieres, 107 Rue De L'horloge,Casablanca,33.59533 : -7.61253, 7927,Tribunal de Casablanca,,Societe Anonyme, 100 000 
LOUVRE (STE IMMOBILIERE DU)," acquisition, construction de tous immeubles, leur revente en totalite ou en partie, prise en location de tous immeubles batis ou non", 79 Avenue Moinier,Casablanca,33.58694440000001 : -7.6111111000000164, 18861,Tribunal de Casablanca,,Societe Anonyme, 30 000 
BRIQUETERIE EZZAHRI," fabrication, commercialisation et transport de materiaux de construction", Centre De Sidi Yahya Zaers,Rabat,34.015049 : -6.83272, 50297,Tribunal de Rabat, 001435274000072,Societe en Nom Collectif, 10 000 
KAISSAR (STE)," marchand de materiaux de construction, promoteur a la construction d'immeubles", Rue De Dax Roches Noires N261,Casablanca,33.59773 : -7.588, 66235,Tribunal de Casablanca,,Societe Anonyme, 10 000 
KOURIKAT, exploitant un etablissement industriel pour la fabrication de vetements confectionnes, Hay Souaret Rue 5 N35 Ain Borja,Rabat,34.015049 : -6.832719999999995, 28215,Tribunal de Rabat,,Societe a Responsabilite Limitee, 100 000 
BASSATINE DE PROMOTION IMMOBILIERE ET DE REALISATION DE TRAVAUX PUBLICS (STE AL) (SOBATRAV), entrepreneur de travaux divers ou constructions, Rue Ghandi N17,Kenitra,34.26452 : -6.5909, 24773,Tribunal de Kenitra,,Societe Anonyme, 100 000 
GIVACO (STE) (GIVACO), la fabrication et commercialisation de fourniture pour l'ecriture et le dessin, Rue 4 Bd Fouarat N45,Casablanca,33.583198 : -7.548406, 36063,Tribunal de Casablanca,,Societe Anonyme, 240 000 
TRAFEX GROUP," negociant, marchand importateur", Bd Brahim Roudani N6 Maarif N332,Casablanca,33.58224 : -7.633005, 71821,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000 
MOSAIC TEXTILE CONSORTIUM, la promotion des exportations etc, 32 Rue El Houdhoud,Casablanca,33.58334 : -7.61893, 135573,Tribunal de Casablanca, 001533177000038,Groupement d'Interet Economique, 25 000 
GROUPE SCOLAIRE AL AZHAR," le tourisme en general, l'exploitation d'etablissements touristiques, l'organisation de circuits touristiques, le transport touristique sous toutes ses formes, prestation de services touristiques a des tiers, intermediaire pour realisation de services touristiques, importation de toutes sortes de ma * la restauration. * l'exploitation de restaurants, pizzerias, et tous etablissement ayant relation avec la qualite de traiteur et organisation de fetes. * l'exploitation de tout etablissement de restauration rapide et livraison a domicile. * l'exploitation de cremerie, patisserie et glacier. ? l'exploitation de salon de the."," 118, Bd Sidi Mohamed Ben Abdellah, Ikamat Zayd 1er Etage N 22",Tanger-Medina (AR),35.78024 : -5.82028, 29839,Tribunal de Tanger, 001540726000012,Societe a Responsabilite Limitee, 200 000 
BEAUX ARTS (IMPRIMERIES DES), la creation et d'exploitation directe ou indirecte, 104 Bd De Paris,Casablanca,33.59281 : -7.61865, 46677,Tribunal de Casablanca,,Societe Anonyme, 10 000 
