Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,Numero RC,Tribunal,ICE,Forme Juridique,Capital
INTERNATIONAL D'AUTOMOBILES PIECES DETACHES ET ACCESSOIRES (COMPTOIR) (CIDAPA)," reprsent, concession marques tous vehicules, tracteurs, atuto, de leurs pieces detachees, accessoires, cce pneumatiques, essence, huiles", 47-51 Rue Des Oules Ziane,Casablanca,33.58694440000001 : -7.6111111000000164, 7213,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 1 200 000 
HINES MEDICAL, commerce du materiel medical et chirurgical, 364 Bd Modiboukita,Casablanca,33.562974 : -7.602467, 95503,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 120 000 
COREB MAROC, bureau d'etudes techniques et commerciales, Zone Industrielle,Tanger-Assilah,35.76025 : -5.782748, 3333,Tribunal de Tanger,,Societe Anonyme, 100 000 
BATIR VITE, entrepreneur de travaux divers, 34 Rue Zemmour Aviation,Rabat,33.988975 : -6.818533, 45395,Tribunal de Rabat, 002021432000035,Societe a Responsabilite Limitee, 100 000 
BELLE PLAGE, gerance de camping, 35 Rue De Safi,Oujda-Angad,34.683635 : -1.911404, 13795,Tribunal de Oujda,,Societe a Responsabilite Limitee, 13 795 
MATERIAUX DE CONSTRUCTION ET DU FER (STE DES) (CIMAFER)," achat, vente distribution du fer et tous materiaux de construction, commerce en general, representation de tous produits...", 275 Rue Hadj Amar Riffi,Casablanca,33.58219 : -7.60623, 35595,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000 
PALAIS DU CYCLOMOTEUR," vente de cycles, cyclomoteurs, pieces detachees accessoires", 102 Rue Karatchi,Casablanca,33.59078 : -7.60776, 30545,Tribunal de Casablanca,,Societe Anonyme, 1 400 000 
NORTH AFRICA SUPPLY SOCIETE D'APPROVISIONNEMENT MARITIME (NAS), ravitaillement et approvisionnement de tous navires toutes fournitures quelconques pour la marine la peche l'industrie, 58 Bd Du 4eme Touaves,Casablanca,33.59797 : -7.61572, 12013,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 764 000 
YATRIBI (STE)," entrepreneur de batiments, le batiment la promotion immobiliere", Av Al Kifah Bloc Ag N 5 Cym Rabat,Rabat,34.015049 : -6.832719999999995, 28635,Tribunal de Rabat, 000078532000056,Societe a Responsabilite Limitee, 100 000 
NEJMA CONFECTION, fabricant de vetements confectionnes, Quartier Industriel Sidi Brahim I Lot 75 Avenue 800,Fes-Medina (AR),34.0271355112 : -4.98215929071, 16259,Tribunal de Fes,,Societe Anonyme, 1 500 000 
