Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,RC,Tribunal,ICE,Forme Juridique,Capital
ATIF H ET CIE (ATIF H), fonderie, Km 22 Rte Secondaire 107,Tit Mellil (M),33.557174 : -7.484752, 73565,Tribunal de Casablanca,,Societe Anonyme, 600 000 
DAR JAWHARA," fabrication,transformation et la vente de tous bijoux,tous travaux d'horlogerie toutes operations commerciales industrielle financiers mobilier", 80 Bd D'anfa,Casablanca,33.59249 : -7.63281, 30653,Tribunal de Casablanca,,Societe Anonyme, 50 000 
MAGHREB MEDICAL MAINTENANCE, entrepreneur d'installation de materiel medical, Avenue Stendhl N17,Casablanca,33.5659 : -7.63735, 65119,Tribunal de Casablanca,,Societe Anonyme, 100 000 
B.M.C.I CREDIT CONSO, credit a la consommation, 30 Av Des Forces Armees Royales,Casablanca,33.58694440000001 : -7.6111111000000164, 145001,Tribunal de Casablanca,,Societe Anonyme, 30 000 000 
DIMANI TRANS, le transport sous tous ses formes sur tout le territoire marocain et a l'etranger ainsi que le transport de marchandises et de tous autres produits .., Hay Souani Rue 107 N5,Tanger-Assilah,35.768486 : -5.809275, 14697,Tribunal de Tanger,,Societe a Responsabilite Limitee, 500 000 
ABEL (STE), representation publicite et relations publiques, Im Chaabi Rue Al Istiqlal,Kenitra,34.2636 : -6.58141, 18982,Tribunal de Rabat,,Societe a Responsabilite Limitee, 10 000 
STE CHAOUCH DES PRODUITS CHIMIQUES ET D'ENTRETIEN (SOCHAPRO)," fabricant de produit chimique vendant en gros, gardiennage, surveillange, et pretection", Rue Du Tunis N3,Oujda (M),34.687837 : -1.914397, 14933,Tribunal de Oujda,,Societe a Responsabilite Limitee, 100 000 
ORIENTAL SOLAIRE," planification, distribution d'installation de l'energie solaire, energie alternative, participation a tous marche publics ou prives", 11 Avenue Sahel El Aj Hay Amal,Nador,35.16462 : -2.920613, 2091,Tribunal de Nador,,Societe a Responsabilite Limitee, 10 000 
FISH PROCESS MAROC," congelation, transformation, exportation, commercialisation des produits de la mer, leur negoce a l'exportation et a l'interieur du pays - industrie de la peche maritime en general - la peche maritime et long des cotes nationales et hauturiere - acquisition location gerance exploitation armement", Av De La Mecque Imm Des Habous 3eme Etage Appt 17,Laayoune,27.133789 : -13.176787, 5015,Tribunal de Laayoune, 000086941000090,Societe a Responsabilite Limitee, 100 000 
MAS ET CIE (ETS)," commerce, conditionnement, fruits secs et frais primeurs agrumes commerce generale consignation courtage commission et representation", 110 Rue Lieutenant Mannevy,Casablanca,33.533333 : -7.583333, 6083,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 600 000 
NOUR GHARB (STE DES TRAVAUX)," exploitation des carrieres, travaux divers et terracement", Avenue Mohamed V Rue 21 N15bis,Sidi-Kacem,34.223955 : -5.706518, 24537,Tribunal de Sidi Kacem, 001666160000049,Societe a Responsabilite Limitee, 100 000 
NORD (FIDUCIAIRE DU) (FIDUNORD)," fiduciaire, comptabilite juridique et fiscales", Imm Chami Place De La Resistance,Fes,34.044845 : -4.996786, 14730,Tribunal de Fes,,Societe a Responsabilite Limitee, 100 000 
MAROCAINE DE CONSTRUCTIONS NOUVELLES (STE), vente fabrication entreprise de constructions suivant procedes modernes, 26 Boulevard De Marseille,Casablanca,33.601844 : -7.630466, 10925,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 1 000 000 
TIT MELLIL (DECORATION VERRE), vernisseur sur verres fabracant de materiels en plastiques, 83 Hay Pam Sidi Ismail El Jadida,Casablanca,33.58694440000001 : -7.6111111000000164, 62043,Tribunal de Casablanca,,Societe Anonyme, 300 000 
ENERCOM (ENERCOM), tenant un bureau d'etudes, 40 Bd D'anfa 2eme Etage App 5,Casablanca,33.59249 : -7.63281, 74207,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 20 000 
MERIDIENNE GALLERY, marchand de meubles, 394 Rue Mostapha El Maani,Casablanca,33.58795 : -7.61764, 72911,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000 
SONORIMEX (SONORIMEX), import-export, Avenue Tarifa Rue B N14 Touabel Soufla,Tetouan,35.590119 : -5.342244, 1763,Tribunal de Tetouan,,Societe a Responsabilite Limitee, 100 000 
BEL EL KHADIR (STE CREMERIE BOULANGERIE PATISSERIE), exploitant un milk bar, Amal O Pres De Hammam Am Amal Cym,Rabat,33.995294 : -6.866454, 29101,Tribunal de Rabat,,Societe a Responsabilite Limitee, 100 000 
BON ANNIVERSAIRE, marchand importateur, Oulfa Hay Assafa Rue 15 Ndeg16,Casablanca,33.5564236661 : -7.67990817114, 79077,Tribunal de Casablanca,,Societe a Responsabilite Limitee a Associe Unique, 200 000 
