Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,RC,Tribunal,ICE,Forme Juridique,URL,Capital
EASYDIS, importation et commerce de gros d'electromenagers,,,33.58694440000001 : -7.6111111000000164,156267.0,Tribunal de Casablanca,28275000062.0,Societe a Responsabilite Limitee,societe-easydis-181372, 10 000 000 
BISCUITERIE HENRY'S, biscuiterie industrielle, Rue Le Caire (ex:e) Lot 16 & 17 Qi Ain Sebaa,Ain-Sebaa (AR),33.5698 : -7.596502,29885.0,Tribunal de Casablanca,1537759000096.0,Societe Anonyme,societe-biscuiterie-henry-s-67205, 17 500 000 
T.G BERRAHAL," entrepreneur de travaux dvers ou construction, transport de marchandises", Lotissement Mandarona Bd El Qods Ndeg 858 4eme Etage Apt Ndeg 7 Et 8,Casablanca,33.53324 : -7.61394,172393.0,Tribunal de Casablanca,1665866000033.0,Societe a Responsabilite Limitee a Associe Unique,societe-t-g-berrahal-161187, 30 000 000 
YASMINE ANFA," - la promotion immobiliere ; - l'acquisition, l'exploitation, la gestion et la revente de tous biens immobiliers batis ou non batis, leur mise en valeur par tous travaux et l'edification de toutes constructions ; - les operations de lotissement ; - la construction d'immeubles et la vente en bloc ou par appartement ou villa de ces constructions ; l'amenagement et decoration de tous batiments en tout genre. la commercialisation directe et indirecte, l'importation, l'exportation, l'achat, la vente et le negoce de gros et detail, se rapportant ? la construction du batiment. la creation et l'exploitation de toutes agences et succursales. la participation directe ou indirecte dans toutes operations ou entreprises par voie de creation de societes nouvelles, augmentation de capital de societe existante ou encore par voie d'achat de titres sociaux. et plus generalement, toutes operations commerciales, industrielles, mobilieres, immobilieres se rapportant directement ou indirectement aux objets sus - enonces ou susceptibles d'en favoriser le developpement."," 50, Boulevard Abdelkrim Khattabi,",Casablanca,33.584445 : -7.65595,264467.0,Tribunal de Casablanca,1621889000035.0,Societe a Responsabilite Limitee,societe-yasmine-anfa-343341, 5 000 000 
IRRI-SYS," commercialisation de materiel agricole import export, achat et vente de differentes plantes agricoles.", 169 Lot Yasmina I Route De Tiznet,Ait Melloul (M),30.333503 : -9.504012,1071.0,Tribunal de Inzegane,1518573000041.0,Societe a Responsabilite Limitee,societe-irri-sys-94443, 10 000 000 
ZGOUNDER MILLENIUM SILVER MINING (ZMSM), l'exploitation des mines et la commercialisation de leurs produits, Angle Bd Ibn Sina Et Rue Abu Rayane El Falakki,Casablanca,33.58694440000001 : -7.6111111000000164,294433.0,Tribunal de Casablanca,83268000030.0,Societe Anonyme,societe-zgounder-millenium-silver-mining-384038, 15 000 000 
SOCIETE D'AMENAGEMENT ZENATA, la realisation de l'amenagement de la ville nouvelle de zenata., Numero 1 Parc Central Quartier De La Ferme Route Regionale 322 Eco-cite Zenata,Mohammedia (M),33.6833333 : -7.383333300000004,12671.0,Tribunal de Mohammedia,1526704000015.0,Societe Anonyme,societe-societe-d-amenagement-zenata-186574, 4 533 206 000 
SODILUB," travaux divers, construction des immeubles, tout corps d'etat, publics, genie civil. amenagement, revetements, etancheite, platerie, decoration general, mosaique, marbrerie, electrique, plomberie, peinture et vitrerie, la menuiserie d'aluminium de divers chantiers, publics, soumis publique, tout genre de commerce et negoce a l'echelle national et international.", Ndeg25 Lotissement Attawfiq Rue Ibnou El Koutia Quartier Industriel Oukacha Ain Sebaa,Ain-Sebaa (AR),33.58694440000001 : -7.6111111000000164,304553.0,Tribunal de Casablanca,34590000083.0,Societe a Responsabilite Limitee a Associe Unique,societe-sodilub-398964, 500 000 
OMYA, fabrication et commercialisation de carbonate de calcium - negoce, Km 16 Rte D'el Jadida Commune De Bouskoura,Bouskoura,33.449332 : -7.648521,108209.0,Tribunal de Casablanca,79286000068.0,Societe Anonyme,societe-omya-112538, 30 000 000 
GLOBE NETTOYAGE (GLONET)," travaux de nettoyage, gardiennage, jardinage et interim", 5 Av Kennedy Imm. Essalam 2eme Etage Appt. 9,Safi,32.28667 : -9.229881,1171.0,Tribunal de Safi,200523000031.0,Societe a Responsabilite Limitee,societe-globe-nettoyage-95984, 10 000 000 
SAFARI IMPORT EXPORT, commerce de vetements," 24, Rue Al Khataouate Agdal",Agdal Riyad (AR),33.9967 : -6.850395,44787.0,Tribunal de Rabat,1524906000061.0,Societe a Responsabilite Limitee,societe-safari-import-export-17184, 20 000 000 
WINNER DISTRIBUTORS, exploitant d'une etablissement pour la fabrication de produit de chimiques (produit de peinture); transport de materiaux de toute nature," 5, Chemin Des Dahlilas, Ain Sebaa",Ain-Sebaa (AR),33.590219 : -7.537974,342571.0,Tribunal de Casablanca,339206000081.0,Societe a Responsabilite Limitee,societe-winner-distributors-460567, 9 000 000 
KUEHNE & NAGEL, transport et logistique.," Bureau Ndeg4-lot A4, Immeuble D "" Crystal 3 Au Rdc -marina-",Casablanca,33.586055 : -7.605625,252583.0,Tribunal de Casablanca,198599000084.0,SOCIETE PAR ACTIONS SIMPLIFIEE D'ASSOCIE UNIQUE,societe-kuehne-nagel-324627, 300 000 
EUROLOGISTIQUE," logistique, import,export transport de materiaux de construction. et construction et travaux divers.", 76 Quartier Al Andlaouss,Temara (M),33.929956 : -6.91434,79447.0,Tribunal de Rabat,1509377000013.0,Societe a Responsabilite Limitee,societe-eurologistique-302842, 16 000 000 
EUROLOGISTIQUE," logistique, import,export transport de materiaux de construction. et construction et travaux divers.", 76 Quartier Al Andlaouss,Temara (M),33.929956 : -6.91434,79447.0,Tribunal de Rabat,1509377000013.0,Societe a Responsabilite Limitee,societe-eurologistique-302842, 16 000 000 
SOCIETE D'AUTOMATISME DE FOURNITURE D'APPAREILLAGE D'ETUDE ET DEREALISATION ELECTRIQUE (SAFARELEC)," etude installation commercialisatiion entreprise d'installation electrique import export, etude realisation et maintenance des travaux de voirie, assainissement et adduction en eau potable", Lot 324 Zone Industrielle,El-Jadida,33.254174 : -8.508038,2001.0,Tribunal de Eljadida,1602613000082.0,Societe a Responsabilite Limitee,societe-societe-d-automatisme-de-fourniture-d-appareillage-d-etude-et-derealisation-electrique-92888, 10 000 000 
SOCIEDAD DE TRANSPORTE DE GAZ Y MERCANCIA (S.T.G.M)," transport de gaz et marchandises pour compte d'autrui, gestion et suivi des camions. - import et export.-promotion immobiliere.-levage et manutention.-location de grue mobile et sur chenille, achat et vente de materiaux de manutention et de levage. et plus generalement, toutes operations commerciales, industrielles, mobilieres, immobilieres et financieres se rattachant directement ou indirectement aux objets precites, ou susceptibles de favoriser le developpement de la societe.", Zone Industrielle Selouane,Selouane,35.068294 : -2.929387,3219.0,Tribunal de Nador,1535435000085.0,Societe a Responsabilite Limitee,societe-sociedad-de-transporte-de-gaz-y-mercancia-79652, 16 000 000 
NUOVA ONDAMAR, traitement et exportation de poisson, Immeuble Atlas Maritime Investments N68 Port De Peche,Agadir (M),30.427755 : -9.598107,9807.0,Tribunal de Agadir,1530640000055.0,Societe a Responsabilite Limitee,societe-nuova-ondamar-141152, 5 300 000 
STE MAGHREBINE DES POLYMERES (SMP)," fabrication et commercialisation de produits chimiques : production de polymeres pour peinture, bois et textile, resines polyesters, colles thermo fusibles et adhesifs."," Km 11,5 Autoroute De Casa / Rabat Bp 2589 Ain Sebaa",Ain-Sebaa (AR),33.600214 : -7.50934,87323.0,Tribunal de Casablanca,1531536000016.0,Societe Anonyme,societe-ste-maghrebine-des-polymeres-83959, 30 000 000 
CERATUBE, commerce des appareils sanitaires, Zone Industrielle Sapino Lot Ndeg485 Nouaceur,Nouaceur (M),33.3611111 : -7.611388900000065,82937.0,Tribunal de Casablanca,1529672000001.0,Societe a Responsabilite Limitee a Associe Unique,societe-ceratube-77844, 130 000 000 
HORMIGONES DOMINGO GIMENEZ MAROC (HDG MAROC), la conception et la realisation de tout type de projet de travaux publics et immobiliers., Lot 94 Zone Industrielle Tit Melil,Tit Mellil (M),33.557174 : -7.484752,163991.0,Tribunal de Casablanca,1534299000008.0,Societe a Responsabilite Limitee,societe-hormigones-domingo-gimenez-maroc-193150, 7 000 000 
DILA INVEST, la promotion immobiliere,,,33.57847 : -7.63708,379295.0,Tribunal de Casablanca,1939854000062.0,Societe a Responsabilite Limitee,societe-dila-invest-514219, 100 000 
GROUPE ABROUN-VISION NORD," exploitation d'une teleboutique, l'exploitation d'un parc pour le gardiennage de vehicule automobile"," Lot 3, Attasnia Zi",Temara (M),33.85 : -7.029999999999973,59137.0,Tribunal de Rabat,1712711000001.0,Societe a Responsabilite Limitee,societe-groupe-abroun-vision-nord-87907, 60 000 000 
INTERNATIONAL CANNING COMPANY," - fabrication, vente et conditionnement de conserves alimentaires et la surgelation de fruits et legumes. - achat, vente, fabrication, distribution, importation, consignation, de produits destines a la consommation alimentaires. - negoce, representation, fabrication, commercialisation, conditionnement, importation et transport par tout moyen de tout produit, marchandise, denrees alimentaires d'origine vegetales ou autres. - la fabrication et la commercialisation d'huile et de la farine de poissons. - l'installation, la location, l'exploitation de toutes sortes d'usines ou d'installations frigorifiques de traitement et de conservation de poisson ou de tout autre produits. - traitement et commercialisation de tous les produits de mer marines, frais, congeles ou mis en conserves sur le marche national et international. - la salaison du poisson. - acquisition, location, et exploitation de tout comptoir, fonds de commerce ou industrie, agence ou depot. - la prise a bail, l'acquisition, l'ex", Lot 5 Et 6 Nouveau Qt. Industriel Route Jorf Liyoudi,Safi (M),32.286873 : -9.246562,3163.0,Tribunal de Safi,1545769000039.0,Societe a Responsabilite Limitee,societe-international-canning-company-214747, 10 000 000 
H-TECH," commercialisation de tous materiels informatiques tenant bureau d'etudes d'enquetes et de recherches, entrepreneur de travaux divers ou construction - transport.", 47 Rue Oum Errabia Appt 7 Agdal,Agdal Riyad (AR),33.99747 : -6.84702,40555.0,Tribunal de Rabat,101798000046.0,Societe a Responsabilite Limitee a Associe Unique,societe-h-tech-13537, 17 000 000 
BUROPA (BUROPA), marchand de materiels et fournitures de bureau - commerce de detail de papeterie.," Zone Industrielle, Lot Ndeg 12, Sidi Maarouf",Casablanca,33.58694440000001 : -7.6111111000000164,48311.0,Tribunal de Casablanca,84102000016.0,Societe a Responsabilite Limitee a Associe Unique,societe-buropa-54238, 15 000 000 
HELICONIA AERO SOLUTIONS," le transport public aerien, le travail aerien et la maintenance et la vente d'helicopteres."," Imm << Le Paris >> Appt Ndeg23 Etage 2 Angle N 2 Rue Ibn Aicha Et Bd Abdelkrim El Khattabi Gueliz,",Gueliz (AR),31.637527 : -8.011044,12159.0,Tribunal de Marrakech,226858000093.0,Societe a Responsabilite Limitee,societe-heliconia-aero-solutions-107029, 47 488 000 
ENTREPRISE MOHCINE," import export - promotion immobiliere, travaux publics ou particuliers pour son compte ou le compte de tous tiers, la construction de tous batiments et usures de routes de pistes d'envoi, de verger de canaux de tous travaux d'hydrauliques et tous travaux de marbre. de tous travaux de terrassement et de genie civile. et plus particulierement, toutes operations industrielles, commerciales ou financieres, mobilieres, immobilieres pouvant se rattacher directement ou indirectement a l'objet social ou susceptibles d'en faciliter l'extension ou le developpement."," 56, Rue Ndeg 7, Quartier Mazola, Residence Ait Abdelmoumen, Hay Hassani",Hay-Hassani (AR),33.5670381926 : -7.67068670331,54233.0,Tribunal de Casablanca,1537023000083.0,Societe a Responsabilite Limitee,societe-entreprise-mohcine-52604, 30 000 000 
BAB EL KEBIR, promotion immobiliere, Cil-35 Boulevard Sidi Abderrahmane,Casablanca,33.57648 : -7.67281,381159.0,Tribunal de Casablanca,1669994000030.0,Societe a Responsabilite Limitee,societe-bab-el-kebir-739943, 300 000 
IMCD MAROC, importation et distribution de produits chimiques pour l'industrie, Lot Ndeg 67 Zone Industrielle Sud-ouest,Mohammedia (M),33.670073 : -7.417525,2079.0,Tribunal de Mohammedia,1530081000016.0,Societe a Responsabilite Limitee,societe-imcd-maroc-93162, 4 000 000 
ORIENTIS INVEST," l'etude, la realisation, la construction, l'equipement et l'exploitation de tous etablissements touristiques, hoteliers ou autres dans le cadre des dispositions des lois et reglements en vigueur",,,33.58694440000001 : -7.6111111000000164,140937.0,Tribunal de Casablanca,27432000028.0,Societe Anonyme,societe-orientis-invest-159099, 1 070 300 000 
SOUFIANE FOODS," import export, marchand et stockage des cereales d'alimentation general et legumineuses. transport routier de marchandises national et international", 127 Av. Hafid Ben Abdelbar Res. Al Andalous Inzaran 2eme Etage Local Ndeg 6,Tanger-Medina (AR),35.7666667 : -5.7999999999999545,90047.0,Tribunal de Tanger,2075715000064.0,Societe a Responsabilite Limitee a Associe Unique,societe-soufiane-foods-783314, 3 000 000 
THALVIN (THALVIN)," achat, vente, importation et exportation de produits agricoles alimentaires et dietetiques, l'obtention, la concession l'achat l'exploitation et la vente de tous brevets l'acquisition la prise a bail ou en location gerance la construction la mise en valeur et l'exploitation de tous biens immobiliers", Domaine Des Ouled Thaleb Bp 151,Benslimane (M),33.613439 : -7.121855,29.0,Tribunal de Ben Slimane,1527021000089.0,Societe Anonyme,societe-thalvin-63209, 25 000 000 
SAFRAN ENGINEERING SERVICES MAROC, bureau d'etudes en aeronautique, Aeroport Mohamed 5 Bp 87 Nouaceur,Nouaceur (M),33.371898 : -7.543865,142207.0,Tribunal de Casablanca,1611648000092.0,Societe Anonyme Simplifiee,societe-safran-engineering-services-maroc-158921, 32 300 000 
UNION DES PECHERIES AFRICAINES (UPA)," la congelation et exportation de sardines et maquereaux congeles l'industrie et le commerce des produits, sous produits ou derives de la peche, primeurs et tous produits alimentaires ainsi que leur conserve", Route Du D'jord El Youdi Bp 20,Safi (M),32.298877 : -9.222198,163.0,Tribunal de Safi,1547002000019.0,Societe Anonyme,societe-union-des-pecheries-africaines-9364, 10 000 000 
BUREAU MAGHREBIEN DE PRODUITS PHARMACEUTIQUES (BUMAGECO), vente de produits pharmaceutiques," Rue D'ifni, Immeuble Adil N 6",Tanger-Assilah,35.76864 : -5.81273,691.0,Tribunal de Tanger,1589782000035.0,Societe Anonyme,societe-bureau-maghrebien-de-produits-pharmaceutiques-41451, 4 750 000 
PLUS INTERIM, l'intermediation en matiere de recrutement et d'embauchage. la formation. l'evaluation des competences. le coaching. toutes activites et prestations de services se rapportant a la mise a disposition et a la gestion des ressources humaines ainsi que le conseil en strategie d'entreprise et de management, 2 Rue Hatimi Quartier Plateau 3eme Etage,Casablanca,33.57033 : -7.64204,219441.0,Tribunal de Casablanca,81563000087.0,Societe a Responsabilite Limitee a Associe Unique,societe-plus-interim-275009, 2 000 000 
THERMO ENERGIE, installation d'equipements de chauffage et de climatisation," 5, Av De Madagascar",Rabat,34.015049 : -6.83272,41845.0,Tribunal de Rabat,41776000061.0,Societe a Responsabilite Limitee,societe-thermo-energie-11305, 5 000 000 
AGMA (AGMA), conseil et courtage en assurances, 1 City Parc Center 102 Rue Abderrahmane Sahraoui,Casablanca,33.59343 : -7.62006,29351.0,Tribunal de Casablanca,1644742000021.0,Societe Anonyme,societe-agma-61945, 20 000 000 
AGMA (AGMA), conseil et courtage en assurances, 1 City Parc Center 102 Rue Abderrahmane Sahraoui,Casablanca,33.59343 : -7.62006,29351.0,Tribunal de Casablanca,1644742000021.0,Societe Anonyme,societe-agma-61945, 20 000 000 
MENAGEST, distribution en detail de produits alimentaires et de l'alcool et du tabac.- marchand effectuant import export.," 143, Sidi Ghanem, Quartier Industriel",Sidi Ghanem,31.199238 : -8.7949,32127.0,Tribunal de Marrakech,1527148000055.0,Societe Anonyme,societe-menagest-240510, 7 000 000 
LAITPLUS," l'elevage de bovins et la production laitiere ; la commercialisation de bovins et de produits laitiers; -le developpement, la production et la commercialisation de produits laitiers"," Marina, Boulevard Sidi Mohamed Benabdellah, Tour Crystal 1, 3eme Etage",Casablanca,33.605027 : -7.61988,178961.0,Tribunal de Casablanca,1541576000051.0,Societe Anonyme,societe-laitplus-212829, 346 000 000 
ETABLISSEMENT BEN CHAIB," import export de cereales, graines et semences", Rue Du Soldat Raphael Mariscal,Casablanca,33.580119 : -7.582471,35717.0,Tribunal de Casablanca,1514080000005.0,Societe Anonyme,societe-etablissement-ben-chaib-60455, 20 000 000 
ASMAMA (ASMAMA), commerce de materiels electriques.," 30, Boulevard Khalid Ibn Oualid, Ain Sebaa",Ain-Sebaa (AR),33.58694440000001 : -7.6111111000000164,468717.0,Tribunal de Casablanca,87154000062.0,Societe Anonyme,societe-asmama-84537, 20 000 000 
COMPTOIR PIECES MOTEURS ET ACCESSOIRES (COPIMA), vente de pieces detachees pour automobiles, Parc Industriel Ouled Salah Lot Ndeg 98,Bouskoura,33.414212 : -7.662719,34555.0,Tribunal de Casablanca,1529855000007.0,Societe a Responsabilite Limitee,societe-comptoir-pieces-moteurs-et-accessoires-63163, 11 000 000 
CHOROUQ GENIE CARRIERES, exploitant de carrieres -transport de marchandises, Km 7 Rte De Marrakech Zone Industrielle,Beni Mellal (M),32.336179 : -6.355309,4659.0,Tribunal de Beni Mellal,1445984000059.0,Societe a Responsabilite Limitee,societe-chorouq-genie-carrieres-305278, 14 900 000 
