Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,RC,Tribunal,ICE,Forme Juridique,Capital
Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,Numero RC,Tribunal,ICE,Forme Juridique,Capital
PAIN CHAUD (STE BOULANGERIE PATISSERIE AU)," boulangerie, patisserie et glaces", Sidi Bernoussi Bloc 2 Imm29 Appt47 Karia El Azhar Casa,Casablanca,33.610869 : -7.504093, 90451,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 350 000
MAROCAINE D'EXPANSION COLONIALE (STE) (SOMEC)," toutes operations mobiliere ou immobiliere concernant la parfumerie, cosmetiques, savonnerie, droguerie, pharmacie et toutes autres industries"," 31,rue Mignard Casa",Casablanca,33.58088 : -7.62978, 11341,Tribunal de Casablanca,,Societe Anonyme, 250 000
AFSAL (AFSAL), commerecialisation de fournitures et profiles d'aluminium, C/o Efnor Avenue Atlas N4 1er Etage,Tanger-Assilah,35.76761 : -5.82048, 10187,Tribunal de Tanger,,Societe a Responsabilite Limitee, 10 000
STE NADAFA (NADAFA), marchand de produits chimiques vendant en demi-gros, 6 Rue El Kassar,Casablanca,33.5863 : -7.63096, 38607,Tribunal de Casablanca,,Societe Anonyme, 10 000
SURVEY MAROC, ingenieur conseil (controleur de produits et marchandises)," 37, Rue Des Ait Ba Amrane",Casablanca,33.59483 : -7.60044, 67495,Tribunal de Casablanca, 000084585000070,Societe a Responsabilite Limitee a Associe Unique, 100 000
STE SAMI ESSOULH NEGOCE," la societe a pour objet tant au maroc qu'a l'etranger : gardiennage, nettoyage, espace vert commerce general import, export, exp services commercials."," Av. Omar El Mokhtar, Rue 28 Imm N0 Appt N1",Laayoune (M),27.158503 : -13.207882, 6373,Tribunal de Laayoune,,Societe a Responsabilite Limitee a Associe Unique, 10 000
STE RAHIM MOUHADDAB, travaux divers ou construction, Douar Old Yahia Zouayer Old Aich Bm,Beni Mellal,32.438112 : -6.327991, 1579,Tribunal de Beni Mellal,,Societe en Nom Collectif, 100 000
FAVORITE (AUTO-ECOLE LA), enseignement de conduite de vehicules automobiles, 8 Rue Amiral Courbet,Casablanca,33.594317 : -7.609659, 20657,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 5 000
SKANDINAVIEN OF STOCKHOLM, assurances, 115 Bd De Paris,Casablanca,33.58694440000001 : -7.6111111000000164, 1653,Tribunal de Casablanca,,Societe Anonyme, 1 200 000
MAROC OCCIDENTAL (CIE IMMOBILIERE DU) (CIMO)," operations financieres, commerciales, industrielles, mobilieres, immobilieres ou minieres", 336 Rue Mostapha El Maani,Casablanca,33.58795 : -7.61764, 1765,Tribunal de Casablanca,,Societe Anonyme, 276 250
KASSR ACHAMI (AL)," marchand effectuant import-export, negociant, service telecommunication", 03 Rue Oulad Said Bourgogne,Casablanca,33.60107 : -7.63439, 92529,Tribunal de Casablanca,,Societe a Responsabilite Limitee, 100 000
MAGHREBINE DE MATERIEL D'EXTRACTION (SOMATEXTRA), entrepreneur de travaux de construction, 22 Rue De Peronne Belvedere,Casablanca,33.596045 : -7.589534, 64699,Tribunal de Casablanca,,Societe Anonyme, 100 000
SOUSS ENTREPRISE, entreprise de construction, Bloc 3 N136 Rue De Meknes Quartier Industriel,Agadir-Ida Ou Tanane,30.41019 : -9.586954, 3971,Tribunal de Marrakech,,Societe Anonyme, 600 000
